2022-01-30T16:09:06.408+0800	INFO	example2/example2.go:79	hello, I'm Li Lei
2022-01-30T16:09:06.409+0800	INFO	example2/example2.go:85	hi~! Li Lei, I'm HanMeimei
2022-01-30T16:09:06.409+0800	INFO	example2/example2.go:111	Be my grilfriend?
2022-01-30T16:09:06.409+0800	INFO	example2/example2.go:91	no!
2022-01-30T16:09:06.410+0800	INFO	example2/example2.go:111	it's ok! I will protect you.
2022-01-30T16:09:06.410+0800	INFO	example2/example2.go:96	no!
2022-01-30T16:09:07.411+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:07.411+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:08.411+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:08.411+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:09.411+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:09.411+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:10.411+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:10.411+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:11.410+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:11.410+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:12.412+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:12.412+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:13.411+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:13.411+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:14.411+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:14.411+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:15.411+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:15.411+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:16.410+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:16.410+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:17.411+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:17.411+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:18.411+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:18.411+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:19.410+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:19.411+0800	INFO	example2/example2.go:103	no!
2022-01-30T16:09:20.411+0800	INFO	example2/example2.go:111	please~
2022-01-30T16:09:20.411+0800	INFO	example2/example2.go:103	no!
